"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
600,27,8,3.29583686600433,2.07944154167984,0,0,0,1,0,59.8870056497175,62.2222222222222,0,1,0.8,1,0.8,3.4,1.33,0,1,0
45,24,85,3.17805383034795,4.44265125649032,0,0,0,1,0,51.2903225806452,55.6561085972851,100,0,0.8,1,0.6,1.16,5,1,1,1
90,24,40,3.17805383034795,3.68887945411394,0,0,0,1,0,44.2176870748299,41.1764705882353,50,1,0.8,1,0.6,1.12,6,1,1,1
150,24,35,3.17805383034795,3.55534806148941,0,0,0,1,0,48.5380116959064,50.7936507936508,50,1,0.8,1,0.6,1.28,3.75,1,0,0
90,22,20,3.09104245335832,2.99573227355399,0,0,0,1,0,56.1904761904762,50,0,0,0.6,0,0.4,2,1.8,0,0,1
90,22,60,3.09104245335832,4.0943445622221,0,0,0,1,0,52.5773195876289,29.4117647058824,50,1,0.6,1,0.4,1.11,6.5,1,1,1
180,22,5,3.09104245335832,1.6094379124341,0,0,0,1,0,64.4444444444444,71.1864406779661,50,1,0.8,1,0.8,4,1.25,0,0,1
360,22,44,3.09104245335832,3.78418963391826,0,0,0,1,0,53.6585365853659,50,100,1,0.8,1,0.6,1.3,3.5,1,1,1
600,22,10,3.09104245335832,2.30258509299405,0,0,0,1,0,61.2244897959184,70,66.6666666666667,1,0.8,1,1,1.66,2.2,1,0,0
45,21,67,3.04452243772342,4.20469261939097,0,0,0,1,0,32.3529411764706,32,50,0,0.8,1,0.2,1.11,6.5,1,1,1
90,21,59,3.04452243772342,4.07753744390572,0,0,0,1,0,45.1612903225806,50,50,1,0.8,1,0.6,1.16,5,1,1,1
